"FW_name","location","lat","lon","temperature","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total"
"IS1","Hengill",64.05396,-21.30484,22.7,"Streams",2008,2008,"Hengill valley",54.6531861442817,972.241170004654,97.5593374247205,874.681832579933,0.0000670818207117887,39,12132.5,3,0.53246755642589,0.398379173855227,0.442112788812022
"IS3","Hengill",64.05635,-21.30434,23.7,"Streams",2008,2008,"Hengill valley",77.2881587460877,1407.41331335919,89.3478602865426,1318.06545307265,0.0000620847814514219,37,13928.114285714,3.19293095553391,0.353582920347626,0.516006168738447,0.418372662345627
"IS4","Hengill",64.05656,-21.30342,12.7,"Streams",2008,2008,"Hengill valley",110.8474800654,69.4416259131058,0.904257892000724,68.537368021105,0.00000111159173320261,43,7088,3.0248450795986,0.37692292249805,0.413810112307935,0.405847172540332
"IS5","Hengill",64.05562,-21.30656,21.3,"Streams",2008,2008,"Hengill valley",85.402666890579,1023.76031305275,77.1989928506692,946.561320202083,0.000021803221283497,46,18584.512,2.88957975605915,0.557164227319572,0.609329712771162,0.526423843102463
"IS6","Hengill",64.05669,-21.30681,21,"Streams",2008,2008,"Hengill valley",105.009712655184,1222.6480761588,19.991441085973,1202.65663507282,0.00000695430910724271,39,29160.133333333,2.93887900570885,0.364323404764581,0.416749070815247,0.384734008856007
"IS7","Hengill",64.05738,-21.30846,8.2,"Streams",2008,2008,"Hengill valley",114.466141240528,66.6988397986607,0.342997374182754,66.3558424244779,0.00000045318750563397,41,10660,3.00457025087128,0.339101841309481,0.392990211764916,0.403746107840014
"IS8","Hengill",64.05745,-21.30865,24.6,"Streams",2008,2008,"Hengill valley",111.010825017094,1614.5984810105,18.097035441784,1596.50144556871,0.00000961811050789069,35,19128.076190476,2.92656319943666,0.442105263157895,0.483614557325038,0.483614557325038
"IS9","Hengill",64.05782,-21.30895,18.1,"Streams",2008,2008,"Hengill valley",78.1165751886839,462.454062199499,0.0896683391200043,462.364393860379,0.000000674944781615409,41,8796,2.03746012765706,0.29639810007872,0.350082165268315,0.2886002444056
"IS10","Hengill",64.05831,-21.31198,5.1,"Streams",2008,2008,"Hengill valley",46.5539459110841,32.0453332024437,0.57224304932724,31.4730901531164,0.00000114054410812542,36,7160,3.01010000968638,0.314083002194509,0.217109949941166,0.279803855779033
"IS11","Hengill",64.05881,-21.31338,12.8,"Streams",2008,2008,"Hengill valley",151.05169549605,74.4295979680697,0.734153436309973,73.6954445317597,0.000000871629220413364,42,6136,3.00613547820008,0.409778832991667,0.508490002564022,0.53574233179948
"IS12","Hengill",64.04801,-21.28706,15.5,"Streams",2008,2008,"Hengill valley",29.6904596300853,300.687823457321,29.4270220540217,271.260801403299,0.0000389300719382726,42,4556.210434783,2.80202201514914,0.367402219759047,0.464932647979454,0.351758505918171
"IS13","Hengill",64.053609,-21.304031,6.1,"Streams",2008,2008,"Hengill valley",80.0245223341423,70.9867254640675,0.875821264773001,70.1109041992945,0.0000000970550991165487,38,22180,3,0.40314366786141,0.456974316208188,0.344855241414322
"IS14","Hengill",64.06031,-21.31896,9.7,"Streams",2008,2008,"Hengill valley",71.1367816256052,65.0063624209129,0.442170960619174,64.5641914602937,0.000000607377188708788,40,7184,3.00004658022355,0.388866624914704,0.377610182227604,0.36256786416988
"IS16","Hengill",64.056653,-21.304931,14.5,"Streams",2008,2008,"Hengill valley",50.9823972003256,92.548187900044,4.59132239181338,87.9568655082307,0.0000727285989346592,44,4412.058139535,3.02913165545432,0.489570706857603,0.349502090755428,0.391177354235765
